;ACCIMT Observatory;	ACCIMT Observatory
I21;El Condor Observatory, Cordoba;	El Condor Observatory, Cordoba [code I21]
I22;Abbey Ridge Observatory, Stillwater Lake;	Abbey Ridge Observatory, Stillwater Lake [code I22]
I23;Frosty Cold Observatory, Mash Harbor;	Frosty Cold Observatory, Mash Harbor [code I23]
I24;Lake of the Woods Observatory, Locust Grove;	Lake of the Woods Observatory, Locust Grove [code I24]
I25;ECCCO Observatory, Bosque Alegre;	ECCCO Observatory, Bosque Alegre [code I25]
I26;Observatorio Kappa Crucis, Cordoba;	Observatorio Kappa Crucis, Cordoba [code I26]
I27;Barred Owl Observatory, Carp;	Barred Owl Observatory, Carp [code I27]
I28;Starhoo Observatory, Lakeville;	Starhoo Observatory, Lakeville [code I28]
I29;Middlesex School Observatory, Concord;	Middlesex School Observatory, Concord [code I29]
I30;Observatorio Geminis Austral;	Observatorio Geminis Austral [code I30]
I31;Observatorio Astronomico del Colegio Cristo Rey;	Observatorio Astronomico del Colegio Cristo Rey [code I31]
I32;Observatorio Beta Orionis, Rosario;	Observatorio Beta Orionis, Rosario [code I32]
I33;SOAR, Cerro Pachon;	SOAR, Cerro Pachon [code I33]
I34;Morgantown;	Morgantown [code I34]
I35;Sidoli;	Sidoli [code I35]
I36;Observatorio Los Campitos, Canuelas;	Observatorio Los Campitos, Canuelas [code I36]
I37;Astrodomi Observatory, Santa Rita;	Astrodomi Observatory, Santa Rita [code I37]
I38;Observatorio Los Algarrobos, Salto;	Observatorio Los Algarrobos, Salto [code I38]
I39;Observatorio Cruz del Sur, San Justo;	Observatorio Cruz del Sur, San Justo [code I39]
I40;La Silla--TRAPPIST;	La Silla--TRAPPIST [code I40]
I41;Palomar Mountain--ZTF;	Palomar Mountain--ZTF [code I41]
I42;Westport Observatory;	Westport Observatory [code I42]
I43;Tarleton State University Obs., Stephenville;	Tarleton State University Obs., Stephenville [code I43]
I44;Northwest Florida State College, Niceville;	Northwest Florida State College, Niceville [code I44]
I45;W Crusis Astronomical Observatory, San Justo;	W Crusis Astronomical Observatory, San Justo [code I45]
I46;The Cottage Observatory, Altoona;	The Cottage Observatory, Altoona [code I46]
I47;Pierre Auger Observatory, Malargue;	Pierre Auger Observatory, Malargue [code I47]
I48;Observatorio El Catalejo, Santa Rosa;	Observatorio El Catalejo, Santa Rosa [code I48]
I49;Sunflower Observatory, Santa Fe;	Sunflower Observatory, Santa Fe [code I49]
I50;P2 Observatory, Mayhill;	P2 Observatory, Mayhill [code I50]
I51;Clinton;	Clinton [code I51]
I52;Steward Observatory, Mt. Lemmon Station;	Steward Observatory, Mt. Lemmon Station [code I52]
I53;Armilla;	Armilla [code I53]
I54;Observatorio Las Vaguadas, Badajoz;	Observatorio Las Vaguadas, Badajoz [code I54]
I55;Valencia;	Valencia [code I55]
I56;Observatorio Astronomico John Beckman, Almeria;	Observatorio Astronomico John Beckman, Almeria [code I56]
I57;Elche;	Elche [code I57]
I58;Betera;	Betera [code I58]
I59;Observatorio Fuente de los matos, Muriedas;	Observatorio Fuente de los matos, Muriedas [code I59]
I60;Guernanderf;	Guernanderf [code I60]
I61;Ourense;	Ourense [code I61]
I62;Observatorio Helios Ontigola;	Observatorio Helios Ontigola [code I62]
I63;Cygnus Observatory, New Airesford;	Cygnus Observatory, New Airesford [code I63]
I64;Maidenhead;	Maidenhead [code I64]
I65;Yunquera;	Yunquera [code I65]
I66;Taurus Australis Observatory, Brasilia;	Taurus Australis Observatory, Brasilia [code I66]
I67;Hartley Wintney;	Hartley Wintney [code I67]
I68;Pousada dos Anoes Observatory;	Pousada dos Anoes Observatory [code I68]
I69;AGM Observatory, Marrakech;	AGM Observatory, Marrakech [code I69]
I70;Gedney House Observatory, Kirton;	Gedney House Observatory, Kirton [code I70]
I71;Observatorio Los Milanos, Caceres;	Observatorio Los Milanos, Caceres [code I71]
I72;Observatorio Carpe-Noctem, Madrid;	Observatorio Carpe-Noctem, Madrid [code I72]
I73;Salvia Observatory, Saulges;	Salvia Observatory, Saulges [code I73]
I74;Baxter Garden Observatory, Salisbury;	Baxter Garden Observatory, Salisbury [code I74]
I75;Observatorio Castellon;	Observatorio Castellon [code I75]
I76;Observatorio Tesla, Valdemorillo;	Observatorio Tesla, Valdemorillo [code I76]
I77;CEAMIG-REA Observatory, Belo Horizonte;	CEAMIG-REA Observatory, Belo Horizonte [code I77]
I78;Observatorio Principia, Malaga;	Observatorio Principia, Malaga [code I78]
I79;AstroCamp, Nerpio;	AstroCamp, Nerpio [code I79]
I80;Rose Cottage Observatory, Keighley;	Rose Cottage Observatory, Keighley [code I80]
I81;Tarbatness Observatory, Portmahomack;	Tarbatness Observatory, Portmahomack [code I81]
I82;Guimar;	Guimar [code I82]
I83;Cherryvalley Observatory, Rathmolyon;	Cherryvalley Observatory, Rathmolyon [code I83]
I84;Cerro del Viento, Badajoz;	Cerro del Viento, Badajoz [code I84]
I85;Las Negras;	Las Negras [code I85]
I86;Observatorio UCM, Madrid;	Observatorio UCM, Madrid [code I86]
I87;Astroshot Observatory, Monasterevin;	Astroshot Observatory, Monasterevin [code I87]
I88;Fuensanta de Martos;	Fuensanta de Martos [code I88]
I89;iTelescope Observatory, Nerpio;	iTelescope Observatory, Nerpio [code I89]
I90;Blackrock Castle Observatory;	Blackrock Castle Observatory [code I90]
I91;Retamar;	Retamar [code I91]
I92;Astreo Observatory, Mairena del Aljarafe;	Astreo Observatory, Mairena del Aljarafe [code I92]
I93;St Pardon de Conques;	St Pardon de Conques [code I93]
I94;Observatorio Rho Ophiocus, Las Rozas de Madrid;	Observatorio Rho Ophiocus, Las Rozas de Madrid [code I94]
I95;Observatorio de la Hita;	Observatorio de la Hita [code I95]
I96;Hyperion Observatory, Urbanizacion Caraquiz;	Hyperion Observatory, Urbanizacion Caraquiz [code I96]
I97;Penn Heights Observatory, Rickmansworth;	Penn Heights Observatory, Rickmansworth [code I97]
I98;El Berrueco;	El Berrueco [code I98]
I99;Observatorio Blanquita, Vaciamadrid;	Observatorio Blanquita, Vaciamadrid [code I99]
J00;Segorbe;	Segorbe [code J00]
J01;Observatorio Cielo Profundo, Leon;	Observatorio Cielo Profundo, Leon [code J01]
J02;Busot;	Busot [code J02]
J03;Gothers Observatory, St. Dennis;	Gothers Observatory, St. Dennis [code J03]
J04;ESA Optical Ground Station, Tenerife;	ESA Optical Ground Station, Tenerife [code J04]
J05;Bootes Observatory, Boecillo;	Bootes Observatory, Boecillo [code J05]
J06;Trent Astronomical Observatory, Clifton;	Trent Astronomical Observatory, Clifton [code J06]
J07;Observatorio SPAG Monfrague, Palazuelo-Empalme;	Observatorio SPAG Monfrague, Palazuelo-Empalme [code J07]
J08;Observatorio Zonalunar, Puzol;	Observatorio Zonalunar, Puzol [code J08]
J09;Balbriggan;	Balbriggan [code J09]
J10;Alicante;	Alicante [code J10]
J11;Matosinhos;	Matosinhos [code J11]
J12;Caraquiz;	Caraquiz [code J12]
J13;La Palma-Liverpool Telescope;	La Palma-Liverpool Telescope [code J13]
J14;La Corte;	La Corte [code J14]
J15;Muxagata;	Muxagata [code J15]
J16;An Carraig Observatory, Loughinisland;	An Carraig Observatory, Loughinisland [code J16]
J17;Ragdon;	Ragdon [code J17]
J18;Dingle Observatory, Montgomery;	Dingle Observatory, Montgomery [code J18]
J19;El Maestrat;	El Maestrat [code J19]
J20;Aravaca;	Aravaca [code J20]
J21;El Boalo;	El Boalo [code J21]
J22;Tacande Observatory, La Palma;	Tacande Observatory, La Palma [code J22]
J23;Centre Astronomique de La Couyere;	Centre Astronomique de La Couyere [code J23]
J24;Observatorio Altamira;	Observatorio Altamira [code J24]
J25;Penamayor Observatory, Nava;	Penamayor Observatory, Nava [code J25]
J26;The Spaceguard Centre, Knighton;	The Spaceguard Centre, Knighton [code J26]
J27;El Guijo Observatory;	El Guijo Observatory [code J27]
J28;Jaen;	Jaen [code J28]
J29;Observatorio Nira, Tias;	Observatorio Nira, Tias [code J29]
J30;Observatorio Ventilla, Madrid;	Observatorio Ventilla, Madrid [code J30]
J31;La Axarquia;	La Axarquia [code J31]
J32;Aljaraque;	Aljaraque [code J32]
J33;University of Hertfordshire Obs., Bayfordbury;	University of Hertfordshire Obs., Bayfordbury [code J33]
J34;La Fecha;	La Fecha [code J34]
J35;Tucci Observatory, Martos;	Tucci Observatory, Martos [code J35]
J36;Observatorio DiezALaOnce, Illana;	Observatorio DiezALaOnce, Illana [code J36]
J37;Huelva;	Huelva [code J37]
J38;Observatorio La Vara, Valdes;	Observatorio La Vara, Valdes [code J38]
J39;Ingenio;	Ingenio [code J39]
J40;Malaga;	Malaga [code J40]
J41;Raheny;	Raheny [code J41]
J42;Puzol;	Puzol [code J42]
J43;Oukaimeden Observatory, Marrakech;	Oukaimeden Observatory, Marrakech [code J43]
J44;Observatorio Iturrieta, Alava;	Observatorio Iturrieta, Alava [code J44]
J45;Observatorio Montana Cabreja, Vega de San Mateo;	Observatorio Montana Cabreja, Vega de San Mateo [code J45]
J46;Observatorio Montana Blanca, Tias;	Observatorio Montana Blanca, Tias [code J46]
J47;Observatorio Nazaret;	Observatorio Nazaret [code J47]
J48;Observatory Mackay, La Laguna;	Observatory Mackay, La Laguna [code J48]
J49;Santa Pola;	Santa Pola [code J49]
J50;La Palma-NEON;	La Palma-NEON [code J50]
J51;Observatorio Atlante, Tenerife;	Observatorio Atlante, Tenerife [code J51]
J52;Observatorio Pinsoro;	Observatorio Pinsoro [code J52]
J53;Posadas;	Posadas [code J53]
J54;Bradford Robotic Telescope;	Bradford Robotic Telescope [code J54]
J55;Los Altos de Arguineguin Observatory;	Los Altos de Arguineguin Observatory [code J55]
J56;Observatorio La Avejerilla;	Observatorio La Avejerilla [code J56]
J57;Centro Astronomico Alto Turia, Valencia;	Centro Astronomico Alto Turia, Valencia [code J57]
J58;Brynllefrith Observatory, Llantwit Fardre;	Brynllefrith Observatory, Llantwit Fardre [code J58]
J59;Observatorio Linceo, Santander;	Observatorio Linceo, Santander [code J59]
J60;Tocororo Observatory, Arquillinos;	Tocororo Observatory, Arquillinos [code J60]
J61;Brownstown Observatory, Kilcloon;	Brownstown Observatory, Kilcloon [code J61]
J62;Kingsland Observatory, Boyle;	Kingsland Observatory, Boyle [code J62]
J63;San Gabriel;	San Gabriel [code J63]
J64;La Mata;	La Mata [code J64]
J65;Celbridge;	Celbridge [code J65]
J66;Kinver;	Kinver [code J66]
J67;Observatorio La Puebla de Vallbona;	Observatorio La Puebla de Vallbona [code J67]
J68;Tweenhills Observatory, Hartpury;	Tweenhills Observatory, Hartpury [code J68]
J69;North Observatory, Clanfield;	North Observatory, Clanfield [code J69]
J70;Obs. Astronomico Vega del Thader, El Palmar;	Obs. Astronomico Vega del Thader, El Palmar [code J70]
J71;Willow Bank Observatory;	Willow Bank Observatory [code J71]
J72;Valle del Sol;	Valle del Sol [code J72]
J73;Quainton;	Quainton [code J73]
J74;Bilbao;	Bilbao [code J74]
J75;OAM Observatory, La Sagra;	OAM Observatory, La Sagra [code J75]
J76;La Murta;	La Murta [code J76]
J77;Golden Hill Observatory, Stourton Caundle;	Golden Hill Observatory, Stourton Caundle [code J77]
J78;Murcia;	Murcia [code J78]
J79;Observatorio Calarreona, Aguilas;	Observatorio Calarreona, Aguilas [code J79]
J80;Sainte Helene;	Sainte Helene [code J80]
J81;Guirguillano;	Guirguillano [code J81]
J82;Leyland;	Leyland [code J82]
J83;Olive Farm Observatory, Hoghton;	Olive Farm Observatory, Hoghton [code J83]
J84;South Observatory, Clanfield;	South Observatory, Clanfield [code J84]
J85;Makerstoun;	Makerstoun [code J85]
J86;Sierra Nevada Observatory;	Sierra Nevada Observatory [code J86]
J87;La Canada;	La Canada [code J87]
J88;Strawberry Field Obs., Southampton;	Strawberry Field Obs., Southampton [code J88]
J89;Tres Cantos Observatory;	Tres Cantos Observatory [code J89]
J90;West Challow;	West Challow [code J90]
J91;Alt emporda Observatory, Figueres;	Alt emporda Observatory, Figueres [code J91]
J92;Beaconsfield;	Beaconsfield [code J92]
J93;Mount Tuffley Observatory, Gloucester;	Mount Tuffley Observatory, Gloucester [code J93]
J94;Abbeydale;	Abbeydale [code J94]
J95;Great Shefford;	Great Shefford [code J95]
J96;Observatorio de Cantabria;	Observatorio de Cantabria [code J96]
J97;Alginet;	Alginet [code J97]
J98;Observatorio Manises;	Observatorio Manises [code J98]
J99;Burjassot;	Burjassot [code J99]
K01;Astrognosis Observatory, Bradwell;	Astrognosis Observatory, Bradwell [code K01]
K02;Eastwood Observatory, Leigh on Sea;	Eastwood Observatory, Leigh on Sea [code K02]
K03;Observatori AAS Montsec;	Observatori AAS Montsec [code K03]
K04;Lo Fossil Observatory, Ager;	Lo Fossil Observatory, Ager [code K04]
K05;Eden Observatory, Banham;	Eden Observatory, Banham [code K05]
K07;Observatoire de Gravelle, St. Maurice;	Observatoire de Gravelle, St. Maurice [code K07]
K08;Observatorio Lledoner, Vallirana;	Observatorio Lledoner, Vallirana [code K08]
K09;Llica d&#39;Amunt;	Llica d&#39;Amunt [code K09]
K10;Micro Palomar, Reilhanette;	Micro Palomar, Reilhanette [code K10]
K11;Observatoire de Pommier;	Observatoire de Pommier [code K11]
K12;Obsevatorio Astronomico de Marratxi;	Obsevatorio Astronomico de Marratxi [code K12]
K13;Albireo Observatory, Inca;	Albireo Observatory, Inca [code K13]
K14;Observatorio de Sencelles;	Observatorio de Sencelles [code K14]
K15;Murviel-les-Montpellier;	Murviel-les-Montpellier [code K15]
K16;Reilhanette;	Reilhanette [code K16]
K17;Observatoire des Valentines, Bex;	Observatoire des Valentines, Bex [code K17]
K18;Hesingue;	Hesingue [code K18]
K19;PASTIS Observatory, Banon;	PASTIS Observatory, Banon [code K19]
K20;Danastro Observatory, Romeree;	Danastro Observatory, Romeree [code K20]
K21;Saint-Saturnin-les-Avignon;	Saint-Saturnin-les-Avignon [code K21]
K22;Les Barres Observatory, Lamanon;	Les Barres Observatory, Lamanon [code K22]
K23;Gorgonzola;	Gorgonzola [code K23]
K24;Schmelz;	Schmelz [code K24]
K25;Haute Provence Sud, Saint-Michel-l&#39;Observatoire;	Haute Provence Sud, Saint-Michel-l&#39;Observatoire [code K25]
K26;Contern;	Contern [code K26]
K27;St-Martin Observatory, Amathay Vesigneux;	St-Martin Observatory, Amathay Vesigneux [code K27]
K28;Sternwarte Eckdorf;	Sternwarte Eckdorf [code K28]
K29;Stellarium Gornergrat;	Stellarium Gornergrat [code K29]
K30;Luscherz;	Luscherz [code K30]
K31;Osservatorio Astronomico di Bellino;	Osservatorio Astronomico di Bellino [code K31]
K32;Maritime Alps Observatory, Cuneo;	Maritime Alps Observatory, Cuneo [code K32]
K33;San Defendente;	San Defendente [code K33]
K34;Turin;	Turin [code K34]
K35;Huenfelden;	Huenfelden [code K35]
K36;Ebersheim;	Ebersheim [code K36]
K37;Cereseto;	Cereseto [code K37]
K38;M57 Observatory, Saltrio;	M57 Observatory, Saltrio [code K38]
K39;Serra Observatory;	Serra Observatory [code K39]
K40;Altdorf;	Altdorf [code K40]
K41;Vegaquattro Astronomical Obs., Novi Ligure;	Vegaquattro Astronomical Obs., Novi Ligure [code K41]
K42;Knielingen;	Knielingen [code K42]
K43;OVM Observatory, Chiesa in Valmalencom;	OVM Observatory, Chiesa in Valmalencom [code K43]
K44;Marienburg Sternwarte, Hildesheim;	Marienburg Sternwarte, Hildesheim [code K44]
K45;Oss. Astronomico di Punta Falcone, Piombino;	Oss. Astronomico di Punta Falcone, Piombino [code K45]
K46;Bamberg;	Bamberg [code K46]
K47;BSCR Observatory, Santa Maria a Monte;	BSCR Observatory, Santa Maria a Monte [code K47]
K48;Keyhole Observatory, San Giorgio di Mantova;	Keyhole Observatory, San Giorgio di Mantova [code K48]
K49;Carpione Observatory, Spedaletto;	Carpione Observatory, Spedaletto [code K49]
K50;Sternwarte Feuerstein, Ebermannstadt;	Sternwarte Feuerstein, Ebermannstadt [code K50]
K51;Osservatorio del Celado, Castello Tesino;	Osservatorio del Celado, Castello Tesino [code K51]
K52;Gwen Observatory, San Francesco al Campo;	Gwen Observatory, San Francesco al Campo [code K52]
K53;Marina di Cerveteri;	Marina di Cerveteri [code K53]
K54;Astronomical Observatory University of Siena;	Astronomical Observatory University of Siena [code K54]
K55;Wallhausen;	Wallhausen [code K55]
K56;Osservatorio di Foligno;	Osservatorio di Foligno [code K56]
K57;Fiore Observatory;	Fiore Observatory [code K57]
K58;Gevelsberg;	Gevelsberg [code K58]
K59;Elsterland Observatory, Jessnigk;	Elsterland Observatory, Jessnigk [code K59]
K60;Lindby;	Lindby [code K60]
K61;Rokycany Observatory;	Rokycany Observatory [code K61]
K62;Teplice Observatory;	Teplice Observatory [code K62]
K63;G. Pascoli Observatory, Castelvecchio Pascoli;	G. Pascoli Observatory, Castelvecchio Pascoli [code K63]
K64;Waizenreuth;	Waizenreuth [code K64]
K65;Cesena;	Cesena [code K65]
K66;Osservatorio Astronomico di Anzio;	Osservatorio Astronomico di Anzio [code K66]
K67;Bayerwald Sternwarte, Spiegelau;	Bayerwald Sternwarte, Spiegelau [code K67]
K68;Osservatorio Elianto, Pontecagnano;	Osservatorio Elianto, Pontecagnano [code K68]
K69;Riethnordhausen;	Riethnordhausen [code K69]
K70;Rosarno;	Rosarno [code K70]
K71;Neutraubling;	Neutraubling [code K71]
K72;Celico;	Celico [code K72]
K73;Gravina in Puglia;	Gravina in Puglia [code K73]
K74;Muensterschwarzach Observatory, Schwarzach;	Muensterschwarzach Observatory, Schwarzach [code K74]
K75;Astro Dolomites, Santa Cristina Valgardena;	Astro Dolomites, Santa Cristina Valgardena [code K75]
K76;BSA Osservatorio, Savigliano;	BSA Osservatorio, Savigliano [code K76]
K77;EHB01 Observatory, Engelhardsberg;	EHB01 Observatory, Engelhardsberg [code K77]
K78;iota Scorpii Observatory, La Spezia;	iota Scorpii Observatory, La Spezia [code K78]
K79;Erfurt;	Erfurt [code K79]
K80;Platanus Observatory, Lusowko;	Platanus Observatory, Lusowko [code K80]
K81;P.M.P.H.R. Deep Sky Observatory, Atina;	P.M.P.H.R. Deep Sky Observatory, Atina [code K81]
K82;Alphard Observatory, Ostuni;	Alphard Observatory, Ostuni [code K82]
K83;Beppe Forti Astronomical Observatory, Montelupo;	Beppe Forti Astronomical Observatory, Montelupo [code K83]
K84;Felliscopio Observatory, Fellicarolo;	Felliscopio Observatory, Fellicarolo [code K84]
K85;Kelmis;	Kelmis [code K85]
K86;Brescia;	Brescia [code K86]
K87;Dettelbach Vineyard Observatory;	Dettelbach Vineyard Observatory [code K87]
K88;GINOP-KHK, Piszkesteto;	GINOP-KHK, Piszkesteto [code K88]
K89;Digital Stargate Observatory, Manciano;	Digital Stargate Observatory, Manciano [code K89]
K90;Sopot Astronomical Observatory;	Sopot Astronomical Observatory [code K90]
K91;Sutherland-LCO A;	Sutherland-LCO A [code K91]
K92;Sutherland-LCO B;	Sutherland-LCO B [code K92]
K93;Sutherland-LCO C;	Sutherland-LCO C [code K93]
K94;Sutherland;	Sutherland [code K94]
K95;MASTER-SAAO Observatory, Sutherland;	MASTER-SAAO Observatory, Sutherland [code K95]
K96;Savelli Observatory;	Savelli Observatory [code K96]
K97;Freconrupt;	Freconrupt [code K97]
K98;6ROADS Observatory 1, Wojnowko;	6ROADS Observatory 1, Wojnowko [code K98]
K99;ISON-Uzhgorod Observatory;	ISON-Uzhgorod Observatory [code K99]
L00;East Rome Observatory, Rome;	East Rome Observatory, Rome [code L00]
L01;Visnjan Observatory, Tican;	Visnjan Observatory, Tican [code L01]
L02;NOAK Observatory, Stavraki;	NOAK Observatory, Stavraki [code L02]
L03;SGT Observatory, Gaflenz;	SGT Observatory, Gaflenz [code L03]
L04;ROASTERR-1 Observatory, Cluj-Napoca;	ROASTERR-1 Observatory, Cluj-Napoca [code L04]
L05;Dridri Observatory, Franciacorta;	Dridri Observatory, Franciacorta [code L05]
L06;Sormano 2 Observatory, Bellagio Via Lattea;	Sormano 2 Observatory, Bellagio Via Lattea [code L06]
L07;Osservatorio Salvatore di Giacomo, Agerola;	Osservatorio Salvatore di Giacomo, Agerola [code L07]
L08;Metsahovi Optical Telescope, Metsahovi;	Metsahovi Optical Telescope, Metsahovi [code L08]
L09;Sutherland-LCO Aqawan A #1;	Sutherland-LCO Aqawan A #1 [code L09]
L10;Kryoneri Observatory;	Kryoneri Observatory [code L10]
L11;Sandvreten Observatory;	Sandvreten Observatory [code L11]
L12;Koksijde;	Koksijde [code L12]
L13;Stardust Observatory, Brasov;	Stardust Observatory, Brasov [code L13]
L14;Planetarium de Vaulx-en-Velin Observatory;	Planetarium de Vaulx-en-Velin Observatory [code L14]
L15;St. George Observatory, Ploiesti;	St. George Observatory, Ploiesti [code L15]
L16;Stardreams Observatory, Valenii de Munte;	Stardreams Observatory, Valenii de Munte [code L16]
L17;Observatori Astronomic Albanya;	Observatori Astronomic Albanya [code L17]
L18;QOS Observatory, Zalistci;	QOS Observatory, Zalistci [code L18]
L19;Osservatorio Felsina AAB, Montepastore;	Osservatorio Felsina AAB, Montepastore [code L19]
L20;AG_Sarajevo Observatory, Sarajevo;	AG_Sarajevo Observatory, Sarajevo [code L20]
L21;Ostrov Observatory, Constanta;	Ostrov Observatory, Constanta [code L21]
L22;Barlad Observatory;	Barlad Observatory [code L22]
L23;Schela Observatory;	Schela Observatory [code L23]
L24;Gauteng;	Gauteng [code L24]
L25;Smolecin;	Smolecin [code L25]
L26;Sanderphil Urban Observatory, Civitavecchia;	Sanderphil Urban Observatory, Civitavecchia [code L26]
L27;29PREMOTE Observatory, Dauban;	29PREMOTE Observatory, Dauban [code L27]
L28;ISON-Castelgrande Observatory;	ISON-Castelgrande Observatory [code L28]
L29;Drebach-South Observatory, Windhoek;	Drebach-South Observatory, Windhoek [code L29]
L30;Lohbach Observatory, Benninghofen;	Lohbach Observatory, Benninghofen [code L30]
L31;RaSo Observatory, Chemnitz;	RaSo Observatory, Chemnitz [code L31]
L32;Korea Microlensing Telescope Network-SAAO;	Korea Microlensing Telescope Network-SAAO [code L32]
L33;Ananjev;	Ananjev [code L33]
L34;Galhassin Robotic Telescope, Isnello;	Galhassin Robotic Telescope, Isnello [code L34]
L35;DreamSky Observatory, Lisnyky;	DreamSky Observatory, Lisnyky [code L35]
L36;Ondrejov--BlueEye600 Telescope;	Ondrejov--BlueEye600 Telescope [code L36]
L37;Observatorio Alnitak, El Puerto de Santa Maria;	Observatorio Alnitak, El Puerto de Santa Maria [code L37]
L38;Gartensternwarte Schafsweide, Schelde;	Gartensternwarte Schafsweide, Schelde [code L38]
L39;Osservatorio Spica, Signa;	Osservatorio Spica, Signa [code L39]
L50;GenShtab Observatory, Nauchnij;	GenShtab Observatory, Nauchnij [code L50]
L51;MARGO, Nauchnij;	MARGO, Nauchnij [code L51]
L52;MASTER-Tavrida;	MASTER-Tavrida [code L52]
L71;Vedrus Observatory, Azovskaya;	Vedrus Observatory, Azovskaya [code L71]
L72;Melezhy Astrophoto Observatory;	Melezhy Astrophoto Observatory [code L72]
L96;ISON-Byurakan Observatory;	ISON-Byurakan Observatory [code L96]
N27;Omsk-Yogik Observatory;	Omsk-Yogik Observatory [code N27]
N30;Zeds Astronomical Observatory, Lahore;	Zeds Astronomical Observatory, Lahore [code N30]
N31;Eden Astronomical Observatory, Lahore;	Eden Astronomical Observatory, Lahore [code N31]
N42;Tien-Shan Astronomical Observatory;	Tien-Shan Astronomical Observatory [code N42]
N43;Plateau Observatory for Dome A, Kunlun Station;	Plateau Observatory for Dome A, Kunlun Station [code N43]
N50;Himalayan Chandra Telescope, IAO, Hanle;	Himalayan Chandra Telescope, IAO, Hanle [code N50]
N55;Corona Borealis Observatory, Ngari;	Corona Borealis Observatory, Ngari [code N55]
N87;Nanshan Station, Xinjiang Observatory;	Nanshan Station, Xinjiang Observatory [code N87]
O43;Observatori Negara, Langkawi;	Observatori Negara, Langkawi [code O43]
O44;Lijiang Station, Yunnan Observatories;	Lijiang Station, Yunnan Observatories [code O44]
O45;Yunnan-HK Observatory, Gaomeigu;	Yunnan-HK Observatory, Gaomeigu [code O45]
O50;Hin Hua Observatory, Klang;	Hin Hua Observatory, Klang [code O50]
O75;ISON-Hureltogoot Observatory;	ISON-Hureltogoot Observatory [code O75]
P25;Kinmen Educational Remote Observatory, Jincheng;	Kinmen Educational Remote Observatory, Jincheng [code P25]
P34;Lvye Observatory, Suzhou;	Lvye Observatory, Suzhou [code P34]
P35;Cuteip Remote Observatory, Changhua;	Cuteip Remote Observatory, Changhua [code P35]
P36;ULTRA Observatory,Suzhou;	ULTRA Observatory,Suzhou [code P36]
P40;Chinese Culture University, Taipei;	Chinese Culture University, Taipei [code P40]
P66;Deokheung Optical Astronomy Observatory;	Deokheung Optical Astronomy Observatory [code P66]
P73;BSH Byulsem Observatory, Busan;	BSH Byulsem Observatory, Busan [code P73]
P93;Space Tracking and Communications Center, JAXA;	Space Tracking and Communications Center, JAXA [code P93]
Q11;Shinshiro;	Shinshiro [code Q11]
Q19;Machida;	Machida [code Q19]
Q21;Southern Utsunomiya;	Southern Utsunomiya [code Q21]
Q23;Sukagawa;	Sukagawa [code Q23]
Q24;Katori;	Katori [code Q24]
Q33;Nayoro Observatory, Hokkaido University;	Nayoro Observatory, Hokkaido University [code Q33]
Q38;Swan Hill;	Swan Hill [code Q38]
Q56;Heaven&#39;s Mirror Observatory, Yass;	Heaven&#39;s Mirror Observatory, Yass [code Q56]
Q57;Korea Microlensing Telescope Network-SSO;	Korea Microlensing Telescope Network-SSO [code Q57]
Q58;Siding Spring-LCO Clamshell #1;	Siding Spring-LCO Clamshell #1 [code Q58]
Q59;Siding Spring-LCO Clamshell #2;	Siding Spring-LCO Clamshell #2 [code Q59]
Q60;ISON-SSO Observatory, Siding Spring;	ISON-SSO Observatory, Siding Spring [code Q60]
Q61;PROMPT, Siding Spring;	PROMPT, Siding Spring [code Q61]
Q62;iTelescope Observatory, Siding Spring;	iTelescope Observatory, Siding Spring [code Q62]
Q63;Siding Spring-LCO A;	Siding Spring-LCO A [code Q63]
Q64;Siding Spring-LCO B;	Siding Spring-LCO B [code Q64]
Q65;Warrumbungle Observatory;	Warrumbungle Observatory [code Q65]
Q66;Siding Spring-Janess-G, JAXA;	Siding Spring-Janess-G, JAXA [code Q66]
Q67;JBL Observatory, Bathurst;	JBL Observatory, Bathurst [code Q67]
Q68;Blue Mountains Observatory, Leura;	Blue Mountains Observatory, Leura [code Q68]
Q69;Hazelbrook (O&#39;Day);	Hazelbrook (O&#39;Day) [code Q69]
Q79;Samford Valley Observatory;	Samford Valley Observatory [code Q79]
Q80;Birkdale;	Birkdale [code Q80]
R57;Aorangi Iti Observatory, Lake Tekapo;	Aorangi Iti Observatory, Lake Tekapo [code R57]
R58;Beverly-Begg Observatory, Dunedin;	Beverly-Begg Observatory, Dunedin [code R58]
T03;Haleakala-LCO Clamshell #3;	Haleakala-LCO Clamshell #3 [code T03]
T04;Haleakala-LCO OGG B #2;	Haleakala-LCO OGG B #2 [code T04]
T05;ATLAS-HKO, Haleakala;	ATLAS-HKO, Haleakala [code T05]
T08;ATLAS-MLO, Mauna Loa;	ATLAS-MLO, Mauna Loa [code T08]
T09;Mauna Kea-UH/Tholen NEO Follow-Up (Subaru);	Mauna Kea-UH/Tholen NEO Follow-Up (Subaru) [code T09]
T12;Mauna Kea-UH/Tholen NEO Follow-Up (2.24-m);	Mauna Kea-UH/Tholen NEO Follow-Up (2.24-m) [code T12]
T14;Mauna Kea-UH/Tholen NEO Follow-Up (CFHT);	Mauna Kea-UH/Tholen NEO Follow-Up (CFHT) [code T14]
U53;Murray Hill Observatory, Beaverton;	Murray Hill Observatory, Beaverton [code U53]
